[--] ----------------------------------------------
[--] CANreal Save Frames Header (created)
[--] ----------------------------------------------
[F1] Source:                  	C:\Users\Pi\Desktop\CySkinDLL\CAN_packets.csplog
[F2] Split file series:       	CAN_packets.csplog
[F3] File serial number:      	n/a
[F4] Id-Description file:     	<none>
[F5] Header type:             	0
[F6] Header length:           	2093
[F7] File date:               	26.11.2016
[F8] File time:               	07:33:07
[S1] Hardware:                	1000
[S2] Driver:                  	2609
[S3] Firmware:                	1100
[S5] dll:                     	4808
[S6] Board:                   	CAN_USB2
[S7] status:                  	00000000
[S8] OS:                      	Windows 7 Service Pack 1 (6,1,7601,2,[Service Pack 1])
[S9] CANreal:                 	8.23
[SA] Features:                	0972 (2b Ts Lo St )
[SB] HW Time stamps:          	resolution 1.000 MHz <> 1000.000 nsec (OK)
[SC] Controller:              	LPC,60.0 MHz
[SD] Board serial:            	HI005033
[C1] Net number:              	0
[C2] Baud:                    	1000
[C3] 29-bit-Ids:              	1 - enabled
[T0] Start trigger:           	none
[T1] End   trigger:           	none
[C4] Id-Area:                 	0000-2047 ($000-$7FF)
[C6] Baud details:            	1000.00 kBit/s+0.00% Table-Index[0],TSEG[17/3],SJW[0],FLAGS[0 hex]
[--] ----------------------------------------------
[--] Frame_Number	Trigger	Absolute_Time	Msec	Relative_Time		CAN_Id_dec	CAN_Id_hex	Attributes	Length	d1	d2	d3	d4	d5	d6	d7	d8	Text    	
[--]     Num	Trig	     Abs	Msec	            Rel		     IdDec	     IdHex	Attr	Len	d1	d2	d3	d4	d5	d6	d7	d8	Text    	
         116	    	07:31:52	444.219	          0.074		      1025	       401	      	  3	29	9B	C8	  	  	  	  	  	)õ»     	
         117	    	07:31:52	490.939	         46.720		       257	       101	      	  8	43	BC	00	00	B3	0B	28	85	Cº__≥_(Ö	
         118	    	07:31:52	491.085	          0.146		       513	       201	      	  8	28	09	27	5F	27	63	29	0A	(_'_'c)_	
         119	    	07:31:52	491.186	          0.101		       513	       201	      	  8	26	14	27	04	26	BD	26	D4	&_'_&Ω&‘	
         120	    	07:31:52	491.303	          0.117		       513	       201	      	  8	28	56	28	6E	B2	F8	27	80	(V(n≤¯'Ä	
         121	    	07:31:52	491.416	          0.113		       513	       201	      	  8	27	2D	26	B7	26	B7	28	ED	'-&∑&∑(Ì	
         122	    	07:31:52	491.544	          0.128		       513	       201	      	  8	25	D5	26	CF	26	51	26	84	%’&œ&Q&Ñ	
         123	    	07:31:52	491.658	          0.114		       513	       201	      	  8	28	66	27	E7	AD	E2	28	86	(f'Á≠‚(Ü	
         124	    	07:31:52	491.773	          0.115		       513	       201	      	  8	26	FA	2A	5F	28	96	27	AB	&˙*_(ñ'´	
         125	    	07:31:52	491.892	          0.119		       513	       201	      	  8	27	BF	25	81	25	28	26	00	'ø%Å%(&_	
         126	    	07:31:52	492.007	          0.115		       513	       201	      	  8	27	74	30	C2	B2	C1	26	C1	't0¬≤¡&¡	
         127	    	07:31:52	492.147	          0.140		       513	       201	      	  8	26	DC	29	02	29	C8	27	DC	&‹)_)»'‹	
         128	    	07:31:52	492.261	          0.114		       513	       201	      	  8	27	AA	25	5C	24	45	28	6C	'™%\$E(l	
         129	    	07:31:52	492.374	          0.113		       513	       201	      	  8	27	A3	26	D9	AE	8A	28	92	'£&ŸÆä(í	
         130	    	07:31:52	492.490	          0.116		       513	       201	      	  8	27	5C	2A	B9	28	FF	28	27	'\*π(ˇ('	
         131	    	07:31:52	492.618	          0.128		       513	       201	      	  8	28	36	26	CB	26	2D	26	09	(6&À&-&_	
         132	    	07:31:52	492.747	          0.129		       513	       201	      	  8	27	71	2F	F1	B2	9B	26	FC	'q/Ò≤õ&¸	
         133	    	07:31:52	492.862	          0.115		       513	       201	      	  8	26	2A	28	E7	26	F3	27	D6	&*(Á&Û'÷	
         134	    	07:31:52	492.977	          0.115		       513	       201	      	  8	27	A4	25	61	25	CB	28	88	'§%a%À(à	
         135	    	07:31:52	493.090	          0.113		       513	       201	      	  8	24	2D	27	5B	B2	9E	26	2C	$-'[≤û&,	
         136	    	07:31:52	493.203	          0.113		       513	       201	      	  8	26	24	28	AA	27	33	27	44	&$(™'3'D	
